go test -v -benchmem -run=^$ -bench=. ./...
goos: linux
goarch: amd64
pkg: github.com/cep21/tdigestbench
BenchmarkTdigest_TotalSize/digest=caio-8         	     100	  10702530 ns/op	   17920 B/op	      11 allocs/op
BenchmarkTdigest_TotalSize/digest=segmentio-8    	     424	   2850477 ns/op	 1380188 B/op	   54778 allocs/op
BenchmarkTdigest_Add/source=linear/digest=caio-8 	 1299153	       932 ns/op	      33 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=linear/digest=segmentio-8         	 1000000	      5674 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=rand/digest=caio-8                	 3973735	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=segmentio-8           	 2212902	       827 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=caio-8         	 1000000	      1772 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=segmentio-8    	 1000000	      3053 ns/op	    1550 B/op	      10 allocs/op
BenchmarkTdigest_Add/source=normal/digest=caio-8              	 3948990	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=normal/digest=segmentio-8         	 2184526	       865 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=caio-8           	 3871680	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=segmentio-8      	 2069173	       813 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Quantile/caio-8                              	122376505	         9.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/segmentio-8                         	122435348	         9.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.000000-8         	1000000000	         0.000090 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.100000-8         	1000000000	         0.000043 ns/op	         0.100 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.500000-8         	1000000000	         0.000044 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.900000-8         	1000000000	         0.000046 ns/op	         0.900 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.990000-8         	1000000000	         0.000044 ns/op	         0.990 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.999000-8         	1000000000	         0.000044 ns/op	         0.999 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.000000-8    	1000000000	         0.000055 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.100000-8    	1000000000	         0.000041 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.500000-8    	1000000000	         0.000037 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.900000-8    	1000000000	         0.000042 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.990000-8    	1000000000	         0.000036 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.999000-8    	1000000000	         0.000042 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.000000-8           	1000000000	         0.000040 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.100000-8           	1000000000	         0.000087 ns/op	         0.000059 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.500000-8           	1000000000	         0.000042 ns/op	         0.000185 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.900000-8           	1000000000	         0.000039 ns/op	         0.000606 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.990000-8           	1000000000	         0.000040 ns/op	         0.000262 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=caio/quant=0.999000-8           	1000000000	         0.000059 ns/op	         0.000418 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.000000-8      	1000000000	         0.000036 ns/op	         0.000012 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.100000-8      	1000000000	         0.000045 ns/op	         0.00160 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.500000-8      	1000000000	         0.000040 ns/op	         0.00267 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.900000-8      	1000000000	         0.000041 ns/op	         0.000267 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.990000-8      	1000000000	         0.000041 ns/op	         0.00329 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=rand/digest=segmentio/quant=0.999000-8      	1000000000	         0.000042 ns/op	         0.000541 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.000000-8    	1000000000	         0.000020 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.100000-8    	1000000000	         0.000014 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.500000-8    	1000000000	         0.000015 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.900000-8    	1000000000	         0.000015 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.990000-8    	1000000000	         0.000015 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=caio/quant=0.999000-8    	1000000000	         0.000015 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.000000-8         	1000000000	         0.000020 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.100000-8         	1000000000	         0.000014 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.500000-8         	1000000000	         0.000014 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.900000-8         	1000000000	         0.000020 ns/op	         0.00227 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.990000-8         	1000000000	         0.000014 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=alternating/digest=segmentio/quant=0.999000-8         	1000000000	         0.000014 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=normal/digest=caio/quant=0.000000-8                   	1000000000	         0.000047 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=normal/digest=caio/quant=0.100000-8                   	1000000000	         0.000045 ns/op	         0.000683 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=normal/digest=caio/quant=0.500000-8                   	1000000000	         0.000044 ns/op	         0.000466 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=normal/digest=caio/quant=0.900000-8                   	1000000000	         0.000047 ns/op	         0.00204 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=normal/digest=caio/quant=0.990000-8                   	1000000000	         0.000037 ns/op	         0.00416 %diff	       0 B/op	       0 allocs/op
